"Country","Continent","Forexres","Change","Date","newdate"
"Denmark","Europe","763","273","1 Nov 2024","1 Nov 2024"
"Romania","Europe","4,005","3,590","30 Sep 2024","30 Sep 2024"
"Belgium","Europe","14,200","79","1 Mar 2024","1 Mar 2024"
"Norway","Europe","1430","—","1 Oct 2024","1 Oct 2024"
"Peru","Americas","201","—","1 Mar 2024","1 Mar 2024"
"Libya","Africa","238","—","1 Mar 2024","1 Mar 2024"
"Algeria","Africa","1,880","—","1 Mar 2024","1 Mar 2024"
"South Africa","Africa","1,186","143","31 Mar 2025","31 Mar 2025"
"Australia","Oceania","119","267","7 Nov 2024","7 Nov 2024"
"Qatar","Asia","8,931","—","1 Mar 2024","1 Mar 2024"
"Sweden","Europe","271","209","7 Nov 2024","7 Nov 2024"
"Colombia","Americas","124","—","8 Mar 2024","8 Mar 2024"
"Portugal","Europe","7,800","—","1 Mar 2024","1 Mar 2024"
"Kuwait","Asia","1,112","—","1 Mar 2024","1 Mar 2024"
"Chile","Americas","2,373","—","1 Mar 2024","1 Mar 2024"
"Hungary","Europe","4,749","—","1 Mar 2024","1 Mar 2024"
"Ukraine","Europe","1,212","—","1 Mar 2024","1 Mar 2024"
"Bulgaria","Europe","692","—","1 Mar 2024","1 Mar 2024"
"Egypt","Africa","3,161","—","1 Mar 2024","1 Mar 2024"
"Nigeria","Africa","465","—","1 Mar 2024","1 Mar 2024"
"Austria","Europe","954","187","1 Mar 2024","1 Mar 2024"
"Kazakhstan","Asia","938","—","1 Mar 2024","1 Mar 2024"
"Uzbekistan","Asia","950","—","1 Mar 2024","1 Mar 2024"
"Morocco","Africa","213","—","1 Mar 2024","1 Mar 2024"
"New Zealand","Oceania","1,916","—","1 Mar 2024","1 Mar 2024"
"Bangladesh","Asia","370","—","30 Jun 2025","30 Jun 2025"
"Serbia","Europe","4.227","—","9 Aug 2024","9 Aug 2024"
"Iran","Asia","1,641","210","1 Mar 2024","1 Mar 2024"
"Macau","Asia","1,566","—","1 Mar 2024","1 Mar 2024"
"Guatemala","Americas","1,300","—","1 Mar 2024","1 Mar 2024"
"Argentina","Americas","2,090","—","1 Mar 2024","1 Mar 2024"
"Turkmenistan","Asia","45","—","1 Mar 2024","1 Mar 2024"
"Cambodia","Asia","67","—","1 Mar 2024","1 Mar 2024"
"Jordan","Asia","187","—","1 Mar 2024","1 Mar 2024"
"Nepal","Asia","1,857","—","11 Mar 2024","11 Mar 2024"
"Oman","Asia","548","—","1 Mar 2024","1 Mar 2024"
"Pakistan","Asia","34","—","8 Nov 2024","8 Nov 2024"
"Uruguay","Americas","1.176","11","1 Mar 2024","1 Mar 2024"
"Lebanon","Asia","692","—","1 Mar 2024","1 Mar 2024"
"Dominican Republic","Americas","1,145","—","1 Mar 2024","1 Mar 2024"
"Angola","Africa","40","—","15 Mar 2024","15 Mar 2024"
"Costa Rica","Americas","320","—","1 Mar 2024","1 Mar 2024"
"Ireland","Europe","130","2","1 Mar 2024","1 Mar 2024"
"Azerbaijan","Asia","142","—","1 Mar 2024","1 Mar 2024"
"Ivory Coast","Africa","18","—","1 Mar 2024","1 Mar 2024"
"Paraguay","Americas","805","7","1 Mar 2024","1 Mar 2024"
"North Korea","Asia","73","—","1 Mar 2024","1 Mar 2024"
"Bosnia and Herzegovina","Europe","391","—","1 Mar 2024","1 Mar 2024"
"Belarus","Europe","165","19","31 Aug 2024","31 Aug 2024"
"Tunisia","Africa","539","—","21 Mar 2024","21 Mar 2024"
"Finland","Europe","22","—","1 Mar 2024","1 Mar 2024"
"Slovakia","Europe","441","—","1 Mar 2024","1 Mar 2024"
"Honduras","Americas","580","—","21 Mar 2024","21 Mar 2024"
"Tanzania","Africa","600","—","22 Mar 2024","22 Mar 2024"
"Iceland","Europe","24","9","15 Mar 2024","15 Mar 2024"
"Myanmar","Asia","800","—","1 Mar 2024","1 Mar 2024"
"Sri Lanka","Asia","475","2","31 Oct 2024","31 Oct 2024"
"Panama","Americas","200","—","1 Mar 2024","1 Mar 2024"
"Venezuela","Americas","776","—","1 Mar 2024","1 Mar 2024"
"Trinidad and Tobago","Americas","44","—","18 Mar 2024","18 Mar 2024"
"Moldova","Europe","600","—","30 Aug 2024","30 Aug 2024"
"Mauritius","Africa","196","27","1 Mar 2024","1 Mar 2024"
"Bahrain","Asia","128","—","25 Mar 2024","25 Mar 2024"
"Albania","Europe","200","47","31 Apr 2024","31 Apr 2024"
"Georgia","Europe","25.58","—","25 Mar 2024","25 Mar 2024"
"Mongolia","Asia","500","—","20 Mar 2024","20 Mar 2024"
"Botswana","Africa","267","—","1 Mar 2024","1 Mar 2024"
"Jamaica","Americas","300","—","5 Mar 2024","5 Mar 2024"
"Lithuania","Europe","440","—","1 Mar 2024","1 Mar 2024"
"Vatican City","Europe","950","—","1 Mar 2024","1 Mar 2024"
"Armenia","Asia","600","—","25 Mar 2024","25 Mar 2024"
"Nicaragua","Americas","1,100","—","1 Mar 2024","1 Mar 2024"
"Greece","Europe","107","8","1 Mar 2024","1 Mar 2024"
"Latvia","Europe","13","—","1 Mar 2024","1 Mar 2024"
"Uganda","Africa","259","—","1 Mar 2024","1 Mar 2024"
"Andorra","Europe","11","—","20 Mar 2024","20 Mar 2024"
"Brunei","Asia","107","—","1 Mar 2024","1 Mar 2024"
"Cameroon","Africa","180","—","1 Mar 2024","1 Mar 2024"
"Ethiopia","Africa","170","—","1 Mar 2024","1 Mar 2024"
"Ghana","Africa","452","—","1 Mar 2024","1 Mar 2024"
"Ecuador","Americas","747","—","1 Mar 2024","1 Mar 2024"
"Kyrgyzstan","Asia","193","—","1 Mar 2024","1 Mar 2024"
"Croatia","Europe","159","—","1 Mar 2024","1 Mar 2024"
"Slovenia","Europe","62","—","1 Mar 2024","1 Mar 2024"
"El Salvador","Americas","39","—","1 Mar 2024","1 Mar 2024"
"Cuba","Americas","10,391","—","15 Mar 2024","15 Mar 2024"
"Kenya","Africa","1,073","—","5 Mar 2024","5 Mar 2024"
"Papua New Guinea","Oceania","500","—","1 Mar 2024","1 Mar 2024"
"Haiti","Americas","1,256","—","1 Mar 2024","1 Mar 2024"
"Estonia","Europe","145","—","1 Mar 2024","1 Mar 2024"
"Namibia","Africa","25","—","1 Mar 2024","1 Mar 2024"
"Bahamas","Americas","85","—","1 Mar 2024","1 Mar 2024"
"Bolivia","Americas","471","—","1 Mar 2024","1 Mar 2024"
"Madagascar","Africa","127","—","19 Mar 2024","19 Mar 2024"
"Montenegro","Europe","26","—","1 Mar 2024","1 Mar 2024"
"Mauritania","Africa","37","—","1 Mar 2024","1 Mar 2024"
"Tajikistan","Asia","19","—","1 Mar 2024","1 Mar 2024"
"Rwanda","Africa","7","—","1 Mar 2024","1 Mar 2024"
"Zambia","Africa","16","—","1 Mar 2024","1 Mar 2024"
"Guinea","Africa","33","—","15 Mar 2024","15 Mar 2024"
"Gabon","Africa","90","—","1 Mar 2024","1 Mar 2024"
"Cyprus","Asia","200","—","1 Mar 2024","1 Mar 2024"
"Luxembourg","Europe","34","—","5 Mar 2024","5 Mar 2024"
"Laos","Asia","23","—","1 Mar 2024","1 Mar 2024"
"Curaçao","Americas","30","—","20 Mar 2024","20 Mar 2024"
"Fiji","Oceania","22","—","5 Mar 2024","5 Mar 2024"
"Niger","Africa","24","—","1 Mar 2024","1 Mar 2024"
"Aruba","Americas","30","—","15 Mar 2024","15 Mar 2024"
"Bhutan","Asia","3","—","10 Mar 2024","10 Mar 2024"
"Kosovo","Europe","15","—","1 Mar 2024","1 Mar 2024"
"Malta","Europe","9","—","20 Mar 2024","20 Mar 2024"
"Lesotho","Africa","11","—","1 Mar 2024","1 Mar 2024"
"Barbados","Americas","2","—","1 Mar 2024","1 Mar 2024"
"San Marino","Europe","243","—","1 Mar 2024","1 Mar 2024"
"Cape Verde","Africa","25","—","1 Mar 2024","1 Mar 2024"
"Gambia","Africa","6","—","1 Mar 2024","1 Mar 2024"
"Palestine","Asia","12","—","1 Mar 2024","1 Mar 2024"
"Timor-Leste","Asia","2","—","1 Mar 2024","1 Mar 2024"
"Suriname","Americas","30","—","8 Mar 2024","8 Mar 2024"
"Sierra Leone","Africa","2","—","2 Mar 2024","2 Mar 2024"
"Mali","Africa","19","—","1 Mar 2024","1 Mar 2024"
"Maldives","Asia","180","—","1 Mar 2024","1 Mar 2024"
"Guyana","Americas","20","—","10 Mar 2024","10 Mar 2024"
"Solomon Islands","Oceania","24","—","8 Mar 2024","8 Mar 2024"
"Seychelles","Africa","19","—","1 Mar 2024","1 Mar 2024"
"Vanuatu","Oceania","2","—","1 Mar 2024","1 Mar 2024"
"Democratic Republic of the Congo","Africa","160","—","14 Mar 2024","14 Mar 2024"
"Djibouti","Africa","3","—","1 Mar 2024","1 Mar 2024"
"Malawi","Africa","17","—","1 Mar 2024","1 Mar 2024"
"Eswatini","Africa","27","—","1 Mar 2024","1 Mar 2024"
"Afghanistan","Asia","32","—","1 Oct 2024","1 Oct 2024"
"Republic of the Congo","Africa","20","—","1 Mar 2024","1 Mar 2024"
"Syria","Asia","16","—","1 Mar 2024","1 Mar 2024"
"Federated States of Micronesia","Oceania","2","—","1 Mar 2024","1 Mar 2024"
"Central African Republic","Africa","14","—","1 Mar 2024","1 Mar 2024"
"Saint Kitts and Nevis","Americas","14","—","1 Mar 2024","1 Mar 2024"
"Liberia","Africa","7","—","1 Mar 2024","1 Mar 2024"
"Guinea-Bissau","Africa","3","—","1 Mar 2024","1 Mar 2024"
"Antigua and Barbuda","Americas","6","—","1 Mar 2024","1 Mar 2024"
"Belize","Americas","4","—","1 Mar 2024","1 Mar 2024"
"Saint Lucia","Americas","2","—","1 Mar 2024","1 Mar 2024"
"Yemen","Asia","5","—","1 Mar 2024","1 Mar 2024"
"Grenada","Americas","11","—","1 Mar 2024","1 Mar 2024"
"Tonga","Oceania","3","—","1 Mar 2024","1 Mar 2024"
"Togo","Africa","7","—","1 Mar 2024","1 Mar 2024"
"Comoros","Africa","5","—","1 Mar 2024","1 Mar 2024"
"Saint Vincent and the Grenadines","Americas","1","—","1 Mar 2024","1 Mar 2024"
"Eritrea","Africa","2","—","1 Mar 2024","1 Mar 2024"
"Samoa","Oceania","3","—","1 Mar 2024","1 Mar 2024"
"São Tomé and Príncipe","Africa","2","—","1 Mar 2024","1 Mar 2024"
"Sudan","Africa","5","—","1 Mar 2024","1 Mar 2024"
"Dominica","Americas","6","—","1 Mar 2024","1 Mar 2024"
"Senegal","Africa","12","—","1 Mar 2024","1 Mar 2024"
"Zimbabwe","Africa","8","—","1 Mar 2024","1 Mar 2024"
"Chad","Africa","4","—","1 Mar 2024","1 Mar 2024"
"Burundi","Africa","6","—","1 Mar 2024","1 Mar 2024"
"South Sudan","Africa","7","—","2 Mar 2024","2 Mar 2024"
"Benin","Africa","9","—","1 Mar 2024","1 Mar 2024"
"Montserrat","Americas","5","—","1 Mar 2024","1 Mar 2024"
"Equatorial Guinea","Africa","2","—","1 Mar 2024","1 Mar 2024"
"Burkina Faso","Africa","3","—","1 Mar 2024","1 Mar 2024"
"Somalia","Africa","5","—","1 Mar 2024","1 Mar 2024"
"Kiribati","Oceania","2","—","1 Mar 2024","1 Mar 2024"
"Mozambique","Africa","0.8","—","31 Jul 2025","31 Jul 2025"
"North Macedonia","Europe","0.1","—","31 Aug 2025","31 Aug 2025"
